gateway_reference,order_id,transaction_date,gross_amount,fee,net_amount,currency,refund_amount,chargeback_amount
pay_G1036,ORD_1036,2026-08-04,3177.00,63.54,3113.46,INR,0.00,0.00
pay_G1037,ORD_1037,2026-08-04,4922.00,98.44,4823.56,INR,0.00,0.00
pay_G1038,ORD_1038,2026-08-04,9625.00,192.50,9432.50,INR,0.00,0.00
pay_G1039,ORD_1039,2026-08-04,5813.00,116.26,5696.74,INR,0.00,0.00
pay_G1040,ORD_1040,2026-08-04,13213.00,264.26,12948.74,INR,0.00,0.00
pay_G1041,ORD_1041,2026-08-04,13964.00,279.28,13684.72,INR,0.00,0.00
pay_G1042,ORD_1042,2026-08-04,7072.00,141.44,6930.56,INR,0.00,0.00
pay_G1043,ORD_1043,2026-08-04,3956.00,79.12,3876.88,INR,0.00,0.00
pay_G1044,ORD_1044,2026-08-05,5655.00,113.10,5541.90,INR,0.00,0.00
pay_G1045,ORD_1045,2026-08-05,8679.00,173.58,8505.42,INR,0.00,0.00
pay_G1046,ORD_1046,2026-08-05,8017.00,160.34,7856.66,INR,0.00,0.00
pay_G1047,ORD_1047,2026-08-05,2787.00,55.74,2731.26,INR,0.00,0.00
pay_G1048,ORD_1048,2026-08-05,9697.00,193.94,9503.06,INR,0.00,0.00
pay_G1049,ORD_1049,2026-08-05,12739.00,254.78,12484.22,INR,0.00,0.00
pay_G1050,ORD_1050,2026-08-05,10060.00,201.20,9858.80,INR,0.00,0.00
pay_G1051,ORD_1051,2026-08-05,4093.00,61.40,4031.60,INR,0.00,0.00
pay_G1052,ORD_1052,2026-08-05,8585.00,300.48,8284.52,INR,0.00,0.00
pay_G1053,ORD_1053,2026-08-05,1271.00,19.07,1251.93,INR,0.00,0.00
pay_G1054,ORD_1054,2026-08-05,3004.00,105.14,2898.86,INR,0.00,0.00
pay_G1055,ORD_1055,2026-08-05,13477.00,202.16,13274.84,INR,0.00,0.00
pay_G1056,ORD_1056,2026-08-06,10271.00,359.49,9911.51,INR,0.00,0.00
pay_G1057,ORD_1057,2026-08-06,6752.00,101.28,6650.72,INR,0.00,0.00
pay_G1058,ORD_1058,2026-08-06,9169.00,320.92,8848.08,INR,0.00,0.00
pay_G1059,ORD_1059,2026-08-06,14603.00,219.05,14383.95,INR,0.00,0.00
pay_G1060,ORD_1060,2026-08-06,12308.00,430.78,11877.22,INR,0.00,0.00
pay_G1061,ORD_1061,2026-08-06,14996.00,299.92,14696.08,INR,0.00,0.00
pay_G1062,ORD_1062,2026-08-06,4871.00,97.42,4773.58,INR,0.00,0.00
pay_G1063,ORD_1063,2026-08-06,6073.00,121.46,5951.54,INR,0.00,0.00
pay_G1064,ORD_1064,2026-08-06,7623.00,152.46,7470.54,INR,0.00,0.00
pay_G1065,ORD_1065,2026-08-06,553.00,11.06,541.94,INR,0.00,0.00
pay_G1066,ORD_1066,2026-08-06,4815.00,96.30,4718.70,INR,0.00,0.00
pay_G1067,ORD_1067,2026-08-06,3427.00,68.54,3358.46,INR,0.00,0.00
pay_G1068,ORD_1068,2026-08-07,14762.00,295.24,14466.76,INR,0.00,0.00
pay_G1069,ORD_1069,2026-08-07,14289.00,285.78,14003.22,INR,0.00,0.00
pay_G1070,ORD_1070,2026-08-07,10477.00,209.54,10267.46,INR,0.00,0.00
pay_G1071,ORD_1071,2026-08-07,6626.00,132.52,6493.48,INR,0.00,0.00
pay_G1072,ORD_1072,2026-08-07,9337.00,186.74,9150.26,INR,0.00,0.00
pay_G1073,ORD_1073,2026-08-07,509.00,10.18,498.82,INR,0.00,0.00
pay_G1074,ORD_1074,2026-08-07,8505.00,170.10,8334.90,INR,0.00,0.00
pay_G1075,ORD_1075,2026-08-07,6447.00,128.94,6318.06,INR,0.00,0.00
pay_G1076,ORD_1076,2026-08-07,4423.00,88.46,4334.54,INR,0.00,0.00
pay_G1077,ORD_1077,2026-08-07,14885.00,297.70,14587.30,INR,0.00,0.00
pay_G1078,ORD_1078,2026-08-07,1903.00,38.06,1864.94,INR,0.00,0.00
pay_G1079,ORD_1079,2026-08-07,13869.00,277.38,13591.62,INR,0.00,0.00
pay_G1080,ORD_1080,2026-08-08,9227.00,184.54,9042.46,INR,0.00,0.00
pay_G1081,ORD_1081,2026-08-08,2603.00,52.06,2550.94,INR,0.00,0.00
pay_G1082,ORD_1082,2026-08-08,9507.00,190.14,9316.86,INR,0.00,0.00
pay_G1087,ORD_1087,2026-08-08,7037.00,140.74,6896.26,INR,0.00,0.00
pay_G1088,ORD_1088,2026-08-08,6618.00,132.36,6485.64,INR,0.00,0.00
pay_G1089,ORD_1089,2026-08-08,7897.00,157.94,7739.06,INR,0.00,0.00
pay_G1090,ORD_1090,2026-08-08,4181.00,83.62,4097.38,INR,0.00,0.00
pay_G1091,ORD_1091,2026-08-08,844.00,16.88,827.12,INR,0.00,0.00
pay_G1092,ORD_1092,2026-08-09,4270.00,85.40,4184.60,INR,0.00,0.00
pay_G1093,ORD_1093,2026-08-09,617.00,12.34,296.16,INR,308.50,0.00
pay_G1094,ORD_1094,2026-08-09,10839.00,216.78,5202.72,INR,5419.50,0.00
pay_G1095,ORD_1095,2026-08-09,1604.00,32.08,769.92,INR,802.00,0.00
pay_G1096,ORD_1096,2026-08-09,1660.00,33.20,796.80,INR,830.00,0.00
pay_G1097,ORD_1097,2026-08-09,5062.00,101.24,2429.76,INR,2531.00,0.00
pay_G1098,ORD_1098,2026-08-09,4010.00,80.20,1924.80,INR,2005.00,0.00
pay_G1099,ORD_1099,2026-08-09,12351.00,247.02,5928.48,INR,6175.50,0.00
pay_G1100,ORD_1100,2026-08-09,8244.00,164.88,3957.12,INR,4122.00,0.00
pay_G1101,ORD_1101,2026-08-09,8249.00,164.98,0.00,INR,0.00,8249.00
pay_G1102,ORD_1102,2026-08-09,3619.00,72.38,0.00,INR,0.00,3619.00
pay_G1103,ORD_1103,2026-08-09,11296.00,225.92,0.00,INR,0.00,11296.00
pay_G1104,ORD_1104,2026-08-10,7439.00,148.78,0.00,INR,0.00,7439.00
pay_G1105,ORD_1105,2026-08-10,14653.00,293.06,0.00,INR,0.00,14653.00
