bank_reference,gateway_reference,settlement_date,settlement_amount,bank_fee,currency
BNK_UTR_5064,pay_G1064,2026-08-15,7470.54,0.00,INR
BNK_UTR_5065,pay_G1065,2026-08-15,541.94,0.00,INR
BNK_UTR_5066,pay_G1066,2026-08-15,4718.70,0.00,INR
BNK_UTR_5067,pay_G1067,2026-08-15,3358.46,0.00,INR
BNK_UTR_5068,pay_G1068,2026-08-16,14466.76,0.00,INR
BNK_UTR_5069,pay_G1069,2026-08-08,13853.22,0.00,INR
BNK_UTR_5070,pay_G1070,2026-08-08,10117.46,0.00,INR
BNK_UTR_5071,pay_G1071,2026-08-08,6343.48,0.00,INR
BNK_UTR_5072,pay_G1072,2026-08-08,9000.26,0.00,INR
BNK_UTR_5073,pay_G1073,2026-08-08,348.82,0.00,INR
BNK_UTR_5074,pay_G1074,2026-08-08,8184.90,0.00,INR
BNK_UTR_5075,pay_G1075,2026-08-08,6168.06,0.00,INR
BNK_UTR_5076,pay_G1076,2026-08-08,4184.54,0.00,INR
BNK_UTR_5083,,2026-08-09,8962.10,0.00,INR
BNK_UTR_5084,,2026-08-09,7283.36,0.00,INR
BNK_UTR_5085,,2026-08-09,12616.52,0.00,INR
BNK_UTR_5086,,2026-08-09,3719.10,0.00,INR
BNK_UTR_5087,pay_G1087,2026-08-09,6896.26,0.00,INR
BNK_UTR_5088,pay_G1088,2026-08-09,6485.64,0.00,INR
BNK_UTR_5089,pay_G1089,2026-08-09,7739.06,0.00,INR
BNK_UTR_5090_0,pay_G1090,2026-08-09,4097.38,0.00,INR
BNK_UTR_5090_1,pay_G1090,2026-08-09,4097.38,0.00,INR
BNK_UTR_5091_0,pay_G1091,2026-08-09,827.12,0.00,INR
BNK_UTR_5091_1,pay_G1091,2026-08-09,827.12,0.00,INR
BNK_UTR_5092_0,pay_G1092,2026-08-10,4184.60,0.00,INR
BNK_UTR_5092_1,pay_G1092,2026-08-10,4184.60,0.00,INR
BNK_UTR_5093,pay_G1093,2026-08-10,296.16,0.00,INR
BNK_UTR_5094,pay_G1094,2026-08-10,5202.72,0.00,INR
BNK_UTR_5095,pay_G1095,2026-08-10,769.92,0.00,INR
BNK_UTR_5096,pay_G1096,2026-08-10,796.80,0.00,INR
BNK_UTR_5097,pay_G1097,2026-08-10,2429.76,0.00,INR
BNK_UTR_5098,pay_G1098,2026-08-10,1924.80,0.00,INR
BNK_UTR_5099,pay_G1099,2026-08-10,5928.48,0.00,INR
BNK_UTR_5100,pay_G1100,2026-08-10,3957.12,0.00,INR
BNK_UTR_5101,pay_G1101,2026-08-10,0.00,25.00,INR
BNK_UTR_5102,pay_G1102,2026-08-10,0.00,25.00,INR
BNK_UTR_5103,pay_G1103,2026-08-10,0.00,25.00,INR
BNK_UTR_5104,pay_G1104,2026-08-11,0.00,25.00,INR
BNK_UTR_5105,pay_G1105,2026-08-11,0.00,25.00,INR
BNK_UTR_5106,corrupt_761,2026-08-11,344.37,0.00,INR
BNK_UTR_5107,corrupt_447,2026-08-11,382.37,0.00,INR
BNK_UTR_5108,corrupt_294,2026-08-11,108.37,0.00,INR
BNK_UTR_5109,corrupt_287,2026-08-11,226.37,0.00,INR
BNK_UTR_5110,corrupt_553,2026-08-11,48.37,0.00,INR
