transaction_id,order_id,invoice_id,transaction_date,amount,currency,customer_id,reference_id
TXN_1053,ORD_1053,INV_1053,2026-08-05,1271.00,INR,CUST_193,pay_G1053
TXN_1054,ORD_1054,INV_1054,2026-08-05,3004.00,INR,CUST_981,pay_G1054
TXN_1055,ORD_1055,INV_1055,2026-08-05,13477.00,INR,CUST_742,pay_G1055
TXN_1056,ORD_1056,INV_1056,2026-08-06,10271.00,INR,CUST_796,pay_G1056
TXN_1057,ORD_1057,INV_1057,2026-08-06,6752.00,INR,CUST_165,pay_G1057
TXN_1058,ORD_1058,INV_1058,2026-08-06,9169.00,INR,CUST_710,pay_G1058
TXN_1059,ORD_1059,INV_1059,2026-08-06,14603.00,INR,CUST_357,pay_G1059
TXN_1060,ORD_1060,INV_1060,2026-08-06,12308.00,INR,CUST_111,pay_G1060
TXN_1061,ORD_1061,INV_1061,2026-08-06,14996.00,INR,CUST_217,pay_G1061
TXN_1062,ORD_1062,INV_1062,2026-08-06,4871.00,INR,CUST_649,pay_G1062
TXN_1063,ORD_1063,INV_1063,2026-08-06,6073.00,INR,CUST_887,pay_G1063
TXN_1064,ORD_1064,INV_1064,2026-08-06,7623.00,INR,CUST_214,pay_G1064
TXN_1065,ORD_1065,INV_1065,2026-08-06,553.00,INR,CUST_261,pay_G1065
TXN_1066,ORD_1066,INV_1066,2026-08-06,4815.00,INR,CUST_839,pay_G1066
TXN_1067,ORD_1067,INV_1067,2026-08-06,3427.00,INR,CUST_612,pay_G1067
TXN_1068,ORD_1068,INV_1068,2026-08-07,14762.00,INR,CUST_619,pay_G1068
TXN_1069,ORD_1069,INV_1069,2026-08-07,14289.00,INR,CUST_740,pay_G1069
TXN_1070,ORD_1070,INV_1070,2026-08-07,10477.00,INR,CUST_754,pay_G1070
TXN_1071,ORD_1071,INV_1071,2026-08-07,6626.00,INR,CUST_303,pay_G1071
TXN_1072,ORD_1072,INV_1072,2026-08-07,9337.00,INR,CUST_880,pay_G1072
TXN_1073,ORD_1073,INV_1073,2026-08-07,509.00,INR,CUST_897,pay_G1073
TXN_1074,ORD_1074,INV_1074,2026-08-07,8505.00,INR,CUST_713,pay_G1074
TXN_1075,ORD_1075,INV_1075,2026-08-07,6447.00,INR,CUST_119,pay_G1075
TXN_1076,ORD_1076,INV_1076,2026-08-07,4423.00,INR,CUST_999,pay_G1076
TXN_1077,ORD_1077,INV_1077,2026-08-07,14885.00,INR,CUST_159,pay_G1077
TXN_1078,ORD_1078,INV_1078,2026-08-07,1903.00,INR,CUST_680,pay_G1078
TXN_1079,ORD_1079,INV_1079,2026-08-07,13869.00,INR,CUST_849,pay_G1079
TXN_1080,ORD_1080,INV_1080,2026-08-08,9227.00,INR,CUST_170,pay_G1080
TXN_1081,ORD_1081,INV_1081,2026-08-08,2603.00,INR,CUST_884,pay_G1081
TXN_1082,ORD_1082,INV_1082,2026-08-08,9507.00,INR,CUST_775,pay_G1082
TXN_1087_D0,ORD_1087,INV_1087,2026-08-08,7037.00,INR,CUST_830,pay_G1087
TXN_1087_D1,ORD_1087,INV_1087,2026-08-08,7037.00,INR,CUST_830,pay_G1087
TXN_1088_D0,ORD_1088,INV_1088,2026-08-08,6618.00,INR,CUST_787,pay_G1088
TXN_1088_D1,ORD_1088,INV_1088,2026-08-08,6618.00,INR,CUST_787,pay_G1088
TXN_1089_D0,ORD_1089,INV_1089,2026-08-08,7897.00,INR,CUST_548,pay_G1089
TXN_1089_D1,ORD_1089,INV_1089,2026-08-08,7897.00,INR,CUST_548,pay_G1089
TXN_1090,ORD_1090,INV_1090,2026-08-08,4181.00,INR,CUST_223,pay_G1090
TXN_1091,ORD_1091,INV_1091,2026-08-08,844.00,INR,CUST_165,pay_G1091
TXN_1092,ORD_1092,INV_1092,2026-08-09,4270.00,INR,CUST_702,pay_G1092
TXN_1093,ORD_1093,INV_1093,2026-08-09,617.00,INR,CUST_702,pay_G1093
TXN_1094,ORD_1094,INV_1094,2026-08-09,10839.00,INR,CUST_172,pay_G1094
TXN_1095,ORD_1095,INV_1095,2026-08-09,1604.00,INR,CUST_160,pay_G1095
TXN_1096,ORD_1096,INV_1096,2026-08-09,1660.00,INR,CUST_132,pay_G1096
TXN_1097,ORD_1097,INV_1097,2026-08-09,5062.00,INR,CUST_626,pay_G1097
TXN_1098,ORD_1098,INV_1098,2026-08-09,4010.00,INR,CUST_785,pay_G1098
TXN_1099,ORD_1099,INV_1099,2026-08-09,12351.00,INR,CUST_652,pay_G1099
TXN_1100,ORD_1100,INV_1100,2026-08-09,8244.00,INR,CUST_684,pay_G1100
TXN_1101,ORD_1101,INV_1101,2026-08-09,8249.00,INR,CUST_348,pay_G1101
TXN_1102,ORD_1102,INV_1102,2026-08-09,3619.00,INR,CUST_926,pay_G1102
TXN_1103,ORD_1103,INV_1103,2026-08-09,11296.00,INR,CUST_196,pay_G1103
TXN_1104,ORD_1104,INV_1104,2026-08-10,7439.00,INR,CUST_541,pay_G1104
TXN_1105,ORD_1105,INV_1105,2026-08-10,14653.00,INR,CUST_520,pay_G1105
TXN_1106,ORD_1106,INV_1106,2026-08-10,11532.00,INR,CUST_846,pay_G1106
TXN_1107,ORD_1107,INV_1107,2026-08-10,7096.00,INR,CUST_200,pay_G1107
TXN_1108,ORD_1108,INV_1108,2026-08-10,4573.00,INR,CUST_919,pay_G1108
TXN_1109,ORD_1109,INV_1109,2026-08-10,2796.00,INR,CUST_649,pay_G1109
TXN_1110,ORD_1110,INV_1110,2026-08-10,4592.00,INR,CUST_385,pay_G1110
