order_id,scenario_type,expected_exception_type,predicted_exception_type,exception_evaluated,exception_correct,expected_rule_engine_outcome,predicted_rule_engine_outcome,outcome_correct,actual_record_count,actual_exception_types
ORD-2026-000040,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000041,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000042,FEE_DIFFERENCE,FEE_DIFFERENCE,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000043,FEE_DIFFERENCE,FEE_DIFFERENCE,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000044,CHARGEBACK,CHARGEBACK,CHARGEBACK,True,True,EXCEPTION,EXCEPTION,True,2,CHARGEBACK
ORD-2026-000045,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000046,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000047,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000048,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000049,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000050,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000051,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000052,TIMING_DIFFERENCE,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000053,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000054,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000055,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,2,"AMOUNT_MISMATCH, DUPLICATE"
ORD-2026-000056,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000057,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000058,REFUND,REFUND,REFUND,True,True,EXCEPTION,EXCEPTION,True,2,REFUND
ORD-2026-000059,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000060,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000061,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000062,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000063,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000064,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000065,TIMING_DIFFERENCE,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000066,TIMING_DIFFERENCE,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000067,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000068,CHARGEBACK,CHARGEBACK,NONE,True,False,EXCEPTION,MATCHED,False,0,
ORD-2026-000069,DUPLICATE,DUPLICATE,DUPLICATE,True,True,EXCEPTION,EXCEPTION,True,2,DUPLICATE
ORD-2026-000070,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000071,REFUND,REFUND,REFUND,True,True,EXCEPTION,EXCEPTION,True,2,REFUND
ORD-2026-000072,FEE_DIFFERENCE,FEE_DIFFERENCE,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000073,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000074,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000075,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000076,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000077,FEE_DIFFERENCE,FEE_DIFFERENCE,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000078,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000079,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000080,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000081,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000082,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000083,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000084,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000085,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000086,DUPLICATE,DUPLICATE,DUPLICATE,True,True,EXCEPTION,EXCEPTION,True,2,DUPLICATE
ORD-2026-000087,REFUND,REFUND,REFUND,True,True,EXCEPTION,EXCEPTION,True,2,REFUND
ORD-2026-000088,TIMING_DIFFERENCE,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True,True,EXCEPTION,EXCEPTION,True,1,TIMING_DIFFERENCE
ORD-2026-000089,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000090,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000091,REFUND,REFUND,REFUND,True,True,EXCEPTION,EXCEPTION,True,2,REFUND
ORD-2026-000092,FEE_DIFFERENCE,FEE_DIFFERENCE,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000093,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000094,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000095,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000096,FEE_DIFFERENCE,FEE_DIFFERENCE,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000097,FEE_DIFFERENCE,FEE_DIFFERENCE,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000098,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000099,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000100,DUPLICATE,DUPLICATE,DUPLICATE,True,True,EXCEPTION,EXCEPTION,True,2,DUPLICATE
ORD-2026-000101,CHARGEBACK,CHARGEBACK,CHARGEBACK,True,True,EXCEPTION,EXCEPTION,True,2,CHARGEBACK
ORD-2026-000102,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000103,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000104,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000105,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000106,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000107,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000108,DUPLICATE,DUPLICATE,DUPLICATE,True,True,EXCEPTION,EXCEPTION,True,2,DUPLICATE
ORD-2026-000109,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000110,FEE_DIFFERENCE,FEE_DIFFERENCE,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000111,CHARGEBACK,CHARGEBACK,NONE,True,False,EXCEPTION,MATCHED,False,0,
ORD-2026-000112,CHARGEBACK,CHARGEBACK,CHARGEBACK,True,True,EXCEPTION,EXCEPTION,True,2,CHARGEBACK
ORD-2026-000113,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000114,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000115,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000116,UNRESOLVED,UNKNOWN,MISSING_RECORD,True,False,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000117,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000118,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000119,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000120,TIMING_DIFFERENCE,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000121,TIMING_DIFFERENCE,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True,True,EXCEPTION,EXCEPTION,True,1,TIMING_DIFFERENCE
ORD-2026-000122,FEE_DIFFERENCE,FEE_DIFFERENCE,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000123,TIMING_DIFFERENCE,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True,True,EXCEPTION,EXCEPTION,True,1,TIMING_DIFFERENCE
ORD-2026-000124,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000125,REFUND,REFUND,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000126,TIMING_DIFFERENCE,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True,True,EXCEPTION,EXCEPTION,True,1,TIMING_DIFFERENCE
ORD-2026-000127,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000128,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000129,TIMING_DIFFERENCE,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True,True,EXCEPTION,EXCEPTION,True,1,TIMING_DIFFERENCE
ORD-2026-000130,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000131,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000132,REFUND,REFUND,REFUND,True,True,EXCEPTION,EXCEPTION,True,2,REFUND
ORD-2026-000133,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000134,CHARGEBACK,CHARGEBACK,NONE,True,False,EXCEPTION,MATCHED,False,0,
ORD-2026-000135,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000136,DUPLICATE,DUPLICATE,DUPLICATE,True,True,EXCEPTION,EXCEPTION,True,2,DUPLICATE
ORD-2026-000137,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000138,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000139,DUPLICATE,DUPLICATE,DUPLICATE,True,True,EXCEPTION,EXCEPTION,True,2,DUPLICATE
ORD-2026-000140,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000141,DUPLICATE,DUPLICATE,DUPLICATE,True,True,EXCEPTION,EXCEPTION,True,2,DUPLICATE
ORD-2026-000142,REFUND,REFUND,REFUND,True,True,EXCEPTION,EXCEPTION,True,2,REFUND
ORD-2026-000143,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000144,FEE_DIFFERENCE,FEE_DIFFERENCE,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000145,TIMING_DIFFERENCE,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000146,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000147,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000148,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000149,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000150,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
